,artist,title,label,lyrics
0,Usher,There Goes My Baby,relaxed,"There goes my baby
(oo girl look at you)
You don't know how good it feels to call you my girl
There goes my baby
Loving everything you do
Oo girl look at you



Bet you ain't know that I be checking you out

When you be putting your heels on

I swear your body's so perfect baby

How you work it baby yea

I love the way that you be poking it out

Girl give me something to feel on

So please believe we gone be twerking it out

By the end of the night baby



I've been waiting all day to wrap my hands

Around your waist and kiss your face

Wouldn't trade this feeling for nothing

Not even for a minute

And I'll sit here long as it takes

To get you all alone

But as soon as you come walking my way

You gon hear me say



There goes my baby

(oo girl look at you)

You don't know how good it feels to call you my girl

There goes my baby

Loving everything you do

Oo girl look at you



I get the chills whenever I see your face

And you in the place girl

Feel like I'm in a movie baby

I'm like oowee baby oh

Like waterfalls your hair falls down to your waist

Can I get a taste girl

No need to keep this baby

I ain't ashamed of calling your name girl



I've been waiting all day to wrap my hands

Around your waist and kiss your face

Wouldn't trade this feeling for nothing

Not even for a minute

And I'll sit here long as it takes

To get you all alone

But as soon as you come walking my way

You gon hear me say



There goes my baby

(oo girl look at you)

You don't know how good it feels to call you my girl

There goes my baby

Loving everything you do

Oo girl look at you



And girl I feel like it's our first time

Everytime we get together

Baby loving you feels better than

Everything, anything

Put on my heart you don't need a ring

And I promise our time away won't change my love



There goes my baby

(oo girl look at you)

You don't know how good it feels to call you my girl

There goes my baby

Loving everything you do

Oo girl look at you



There goes my baby

(oo girl look at you)

You don't know how good it feels to call you my girl

There goes my baby

Loving everything you do

Oo girl look at you"
1,Da'Ville,On My Mind,relaxed,"1 ContributorOn My Mind LyricsAhhhhhhhh
You're om my mind
Yea

Verse1
I'm thinkin about you
Girl how i miss you (ou ou)
Baby ever since that day you went away (yea)
I can't live without you

Chorus
You're always on my mind (mind)
You're always on my mind ...
You're always on my mind ...
Girl you're on my mind ...

Verse2
I give you all of me
And now your not here with me
Nothing will never change my love for you remains the same i can't wait to see you again ..

Repeat Chorus

Verse3
If i don't see you today i hope i'll see u tomorrow
Girl i got to let you know how i feel...
This love is real and i don't want to fool myself it belongs to you and no one else
You might also likeRepeat chorusEmbed
Ahhhhhhhh
You're om my mind
Yea

Verse1
I'm thinkin about you
Girl how i miss you (ou ou)
Baby ever since that day you went away (yea)
I can't live without you

Chorus
You're always on my mind (mind)
You're always on my mind ...
You're always on my mind ...
Girl you're on my mind ...

Verse2
I give you all of me
And now your not here with me
Nothing will never change my love for you remains the same i can't wait to see you again ..

Repeat Chorus

Verse3
If i don't see you today i hope i'll see u tomorrow
Girl i got to let you know how i feel...
This love is real and i don't want to fool myself it belongs to you and no one else

Repeat chorus"
2,Rihanna,Rockstar 101 ,relaxed,"I told ya 
I told ya 
I told ya 
Baby 
Baby 
Uh, uh 

I told ya, baby 

Uh-oh 

I told ya, baby 

Uh-oh 

I told ya, baby 

Uh-oh 

I told ya, baby 

Uh-oh 

I told ya, baby 

Uh-oh 

I told ya 



Got up in the club 

Posted in the back 

Feeling so good 

Looking so bad 



Rocking this skirt 

Rocking this club 

Got my middle finger up 

I dont really give a f*** 



Rocking these diamonds 

Im rocking this chain 

Make sure you get a picture 

Im rocking my fame 



To be with you is 

You gotta be what you are 

The only thing Im missing 

Is a black guitar 



Im a rockstar 

Hey baby 

Im a rockstar 

Hey baby 



Big city 

White lights 

Sleep all day 

Up all night 



Hey baby 

Im a rockstar 

Hey baby 

Im a rockstar 



Hey baby its.. 

Big cities 

And white lights 

Sleep all day 

Up all nights 



Baby Im a 

Oh, baby Im a 

Oh, baby Im a 

Oh, baby Im a 

Oh, baby Im a 

Oh, baby Im a 

Oh, baby Im a 

Oh, baby Im a 

Hey, hey, hey 



Six inch walker 

Big sh** talker 

I never play the victim 

Id rather be a stalker 



So baby take me in 

Ill disobey the law 

Make sure you frisk me good 

Check my panties and my bra 



Wildn out 

A crazy house 

With my white jacket on 

Wont you come 

And sign me out 



To be with you is 

You gotta be what you are 

The only thing Im missing 

Is a black guitar 



Im a rockstar 

Hey baby 

Im a rockstar 

Hey baby 



Big city 

White lights 

Sleep all day 

Up all night 



Hey baby 

Im a rockstar 

Hey baby 

Im a rockstar 



Hey baby its.. 

Big cities 

And white lights 

Sleep all day 

Up all nights 



Baby Im a 

Oh, baby Im a 

Oh, baby Im a 

Oh, baby Im a 

Oh, baby Im a 

Oh, baby Im a 

Oh, baby Im a 

Oh, baby Im a 

Hey, hey, hey 



Hey 

Im rocking out tonight 

Cause I cant wait till tomorrow 

Im a live my whole life 

In the night 

Cause I aint got time to borrow 

Im rocking out tonight 

Why wait till tomorrow 

Im a live my whole life 

In the night 



Im a rockstar 

Hey baby 

Im a rockstar 

Hey baby 



Big city 

White lights 

Sleep all day 

Up all night 



Hey baby 

Im a rockstar 

Hey baby 

Im a rockstar 



Hey baby its.. 

Big cities 

And white lights 

Sleep all day 

Up all nights 



Baby Im a 

Oh, baby Im a 

Oh, baby Im a 

Oh, baby Im a 

Oh, baby Im a 

Oh, baby Im a 

Oh, baby Im a 

Oh, baby Im a 

Hey, hey, hey"
3,J. Holiday,Bed,relaxed,"[Intro:]
J. Holiday
Oo-oh, oo-oh
(Ay-ay-ay, Ay, Ay-ay-ay, Ay, Ay-ay-ay, Ay)
Put you to bed, bed, bed
Put you to bed, bed, bed



[Verse One:]

Girl, change into that Victoria Secret thing that I like

Alright

OK

Tonight you're having me your way

Perfume

Spray it there

Put our love in the air

Now put me right next to you

Finna raise temp' in the room

First rub my back like you do

Right there (uh huh) right there (uh)

You touch me like you care

Now stop

And let me repay you for the week that you've been through

Workin' that nine to five and stayin' cute like you do

Oh, oh, oh



[Pre-Chorus:]

I love it (I love it)

You love it (you love it)

Everytime (everytime)

We touchin' (we touchin')

I want it (I want it)

You want it (you want it)

I'll see you (see you)

In the mornin' (in the mornin')



[Chorus:]

Wanna put my fingers through your hair

Wrap me up in your legs

And love you till your eyes roll back

I'm tryna put you to bed, bed, bed

I'ma put you to bed, bed, bed

Then I'ma rock ya body

Turn you over

Love is war, I'm your soldier

Touchin' you like it's our first time

I'ma put you to bed, bed, bed

I'ma put you to bed, bed, bed



[Verse Two:]

I'm starin' at you while you're sleep

Irreplaceable beauty

Put my face up in your neck and breathe (Ooh, breathe)

Take you into my senses

Wake up it's time to finish

Round two, round two

Matter of fact, it's closer to three

She like, ""How long I been sleep?""

Shawty kisses turn into the sweetest dreams

Like give it to me

And I can feel her tell me

""My angel, this is wonderful""

Thanks for letting me bless ya

Come down, fly right

Drift back into heaven

Oh, oh, oh, oh



[Pre-Chorus]



[Chorus]



[Bridge:]

Watch the sunlight peak over the horizon

Ooh-ooh, ooh-ooh, ooh-ooh, ooh-ooh

The sun ain't the only thing that's shinin'

Ooh-ooh, ooh-ooh, ooh-ooh, ooh-ooh

Now I'ma send you out into the world with my love

Tell everybody, Ay

Everybody

Ay, Ay-ay-ay, Ay, Ay-ay-ay, Ay, Ay-ay-ay, Ay



[Chorus till fades out]"
4,Morgan Heritage,Don't Haffi Dread,angry,"[INTRO:]
Yeah ya ya wo/A raggaso we ragga, yeah 
[CHORUS:]
You don't haffi dread to be rasta 
This is not a dreadlocks thing 

Devine conception of the heart 



[VERSE 1:]

Oh it's a life of a livity 

Lived by the Fathers of our histoty 

Uphold the anciency and prophecy 

Trust in the powers of the Trinity(yeah) 

Got to believe in His Majesty 

Oh yes, His lineage and Devinity 

The first step is sovereignty 

Know one's self through royalty (yeah-yeah) 



[CHORUS]



[BRIDGE:]

Don't be afraid of Jah ever-burning fire 

Trust in Jah fire and you'll never get burned 

The fire that reigns over heat, air and water 

No water can put out Jah fire 

Jah fire gonna lift rasta higher 



[CHORUS]



[SOLO:]

A rasta so we rasta, a ragga so we ragga, a ragga so we ragga 



[BRIDGE:]

Don't be afraid of Jah ever-burning fire 

Trust in Jah fire and you never get burned 

The fire that reigns over heat, air and water 

No water can put out Jah fire 

Jah fire gonna lift rasta higher 



[CHORUS]"
5,Whitney Houston,My Love Is Your Love,happy,"If tomorrow is judgement day (sing mommy)
And I'm standin' on the front line.
And the Lord ask me what I did with my life.
I will say I spent it with you.
If I wake up in the World War III.

I see destruction and poverty.

And I feel like I want to go home.

It's okay if you're coming with me.



Chorus: 



Cause your love is my love.

and my love is your love.

It would take an eternity to break us.

And the chains of Amistad couln't hold us.



If I lose my fame and fortune.

And I'm homeless on the street.

And I'm sleepin' in Grand Central Station.

It's okay if you're sleepin' with me.



As the years they pass us by.

we stay young through each other's eyes.

And no matter how old we get.

It's okay as long as I got you babe.



(Chorus) 



If I should die this very day.

Don't cry, cause on earth we wasn't meant to stay.

And no matter what people say.

I'll be waiting for you after judgement day.



(Chorus)"
6,Serani,Study People,angry,"[Intro:]
Seri, Seri, Seri, Serani!
Everywhere I go they find me
Hypocrites and badminds
Every, every, every, every

Everywhere I Go

They fine me

Hypocrites and badminds

Every every every every



Everywhere I Go they find me

Backstabbers and parasites



[Chorus:]

Some some somebody tell me what

They want from me

Me say ya can't study people

Dem same people a study bare evil

But good ova evil me see say dem feeble

I'm fighting for a cause a mi them can't pause

Yeah me say ya can't study people

Dem same people a study bare evil

But good ova evil me see say dem feeble

I'm fightin for a cause



[Verse 1:]

Because' u kno it's everywhere

Evil in the atmosphere things catching

Righteous please beware

We dem watchin

Chit chatting it's clear there's so

Many envious out there

By the power in me

And the help of the father,

Serani never fear another

I'm a live up, never give up, choose the ripper



[Chorus:]

Somebody tell me what

They want from me

Me say ya can't study people

Dem same people a study bare evil

But good ova evil me see say dem feeble

I'm fighting for a cause a mi them can't pause

Yeah me say ya can't study people

Dem same people a study bare evil

But good ova evil me see say dem feeble

I'm fightin for a cause

Because



[Verse 2:]

For me, the fassy dem a plan

Dem ago lose the battle

Cause almighty ah me Dan

Me conscience free cah me never do no wrong

A music me make, write and sing song

Remember I said u can see it in their face

We no the genuine ones from the fakes

Judge dem by the way them embrace

Such disgrace...



[Chorus:]

Some some somebody tell me what

They want from me

Me say ya can't study people

Dem same people a study bare evil

But good ova evil me see say dem feeble

I'm fighting for a cause a mi them can't pause

Yeah me say ya can't study people

Dem same people a study bare evil

But good ova evil me see say dem feeble

I'm fightin for a cause

Because



[Bridge:]

Everywhere I Go

They fine me

Hypocrites and badminds

Every every every every



Everywhere I Go they find me

Backstabbers and parasites



[Chorus:]

Some some somebody tell me what

They want from me

Me say ya can't study people

Dem same people a study bare evil

But good ova evil me see say dem feeble

I'm fighting for a cause a mi them can't pause

Yeah me say ya can't study people

Dem same people a study bare evil

But good ova evil me see say dem feeble

I'm fightin for a cause

Because"
7,Austra,Spellwork,angry,"Habit alone, when separate I moan.
Feeding on bones or anything grown.
I command post and nobody shows
in mornings I rest here,
in evenings I work here,
my debt isn't spent till the rest of me's left.

All I adore-



You must be the call

the evil at night

speaking words of grace

while spellwork delights.

Feel my desire, it burns like a fire.

Feel my desire, it burns like a fire.



I work alone saving my soul

if yesterday hurts, tomorrow is worse.

Send me a sign, for my body's aligned.

I'm ready to waste all my limbs and my face

my pores are wide open

and bleed for your potion,

spellwork and lies!



You must be the call

the evil at night

speaking words of grace

while spellwork delights.

Feel my desire, it burns like a fire.

Feel my desire, it burns like a fire.



You must be the call

the evil at night

speaking words of grace

while spellwork delights.

Feel my desire, it burns like a fire.

Feel my desire, it burns like a fire."
8,Coro,Can't Let You Go,happy,"I should have known you'd be this way 
Serves me right, to fall in love 
You brought me love then you took it back 
We had it all and that's a fact 
Love is a game that we all play 

There's one thing I've got to say 

I gave you my heart and I gave you my world 

I spent those lonely nights right here in the cold 

Every time you touch me my body starts to quiver 

All I want to do is love you all night long 



Chorus: 

Can't let you go my love 

It's you that I need 

You keep me wanting you 

You push my love aside 

Repeat (1x) 



I can't help but think of how you made me feel 

every time I think of the two of us 

Can't realize 

Can't realize 

Can't seem to buy it 

Now that you're gone 

Now that you're gone 



Chorus (2x) 



Can't let you go my love 

You fit me like a glove 

'Cause when you hold me tight 

The feelings oh so right 

Just can't forget those times 

When you were mine, all mine 

This love I have for you is true 

So come back to the one who loves you 



I should have known that you'd be this way 

Serves me right to fall in love 

I can't help but think how you left me feeling 

every time I think about the two of us 

Can't realize 

Can't seem to buy it 

Now that you're gone 

Now that you're gone 



Chorus (3x) 



I can't let you go"
9,Beenie Man,Slam,relaxed,"[Intro:]
Well this is like ah menace to di society
Heh heh heh heh, bigging up fi all di ghetto lady
All girls! bruk out and gwaan crazy busy sing along suh
[Chorus:]

Gimme di gal dem wid di wickedest slam

Di kinda gal weh know fi love up she man

Man if yuh waan fi get di medal

Yuh haffi get ah slam from ah real ghetto gal again

Gimme di gal dem wid di wickedest slam

Di kinda gal weh know fi love up she man

Man if yuh waan fi get di medal

Yuh haffi get ah slam from ah real ghetto gal bwoy!



[Verse 1:]

Men if you never get yuh pedal and wheel

And if yuh never have yuh banana peel

Man if yuh waan fi know how good loving feel

You haffi find ah gal weh live ah Maxfield

Man if yuh love yuh girlfriend to yuh heart

But yuh nah get di slam weh yuh want

Whole heap ah things can gwaan if yuh hide

Guh look ah jungles gal pon di side cause



[Chorus:]

Ah ghetto gal love up di wickedest slam

Di kinda gal weh know fi love up she man

Man if yuh waan fi get di medal

Yuh haffi get ah slam from ah real ghetto gal again

Gimme di gal dem wid di wickedest slam

Di kinda gal weh know fi love up she man

Man if yuh waan fi get di medal

Yuh haffi get ah slam from ah real ghetto gal cah!



[Verse 2:]

Mi nah guh wife up nuh girl if she bore

Gal inna bed and she nuh know what to do

But mi nah guh wrinkle and screw

Because mi dun have mi gal ah seaview

Mi nah go run guh get no Uptown girl

Through she brown and she pretty like pearl

Through me know ah mama man run di world

Yuh coulda find out yuh girl name Earl

Man if yuh have ah ghetto girl unno fi proud

Although she might a look kinda loud

But when it come dung to who run di road

Ah ghetto girl dem ah move wid di crowd suh



[Chorus:]

Gimme di girl dem wid di wickedest slam

Di kinda gal weh know fi love up she man

Man if yuh waan fi get di medal

Yuh haffi get ah slam from ah real ghetto gal again

Gimme di gal dem wid di wickedest slam

Di kinda gal weh know fi love up she man

Man if yuh waan fi get di medal

Yuh haffi get ah slam from ah real ghetto gal man!



[Verse 3:]

If you never get yuh pedal and wheel

And if yuh never get yuh banana peel

Yuh waan fi know how good loving feel

You haffi get ah gal weh live ah Maxfield

Man if yuh love yuh girlfriend to yuh heart

But yuh nah get di slam weh yuh want

Whole heap ah things can gwaan if yuh hide

Guh look ah jungles gal pon di side suh



[Outro:]

Ah ghetto gal dem ah di wickedest slam

Di kinda gal weh know fi love up she man

Man if yuh waan fi get di medal

Yuh haffi get ah slam from ah real ghetto gal"
